title,brand,price,original_price,discount,currency,availability,rating,url,retailer,scraped_at
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(71% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-cartoon-characters-printed-fashion-mobile-accessories/38988340/buy,myntra.com,2026-04-22T17:01:46.945637+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988339/buy,myntra.com,2026-04-22T17:01:47.059730+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-fashion-mobile-accessories/38988338/buy,myntra.com,2026-04-22T17:01:47.213769+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-fashion-mobile-accessories/38988336/buy,myntra.com,2026-04-22T17:01:47.368543+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988335/buy,myntra.com,2026-04-22T17:01:47.523032+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988330/buy,myntra.com,2026-04-22T17:01:47.656161+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(69% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38810594/buy,myntra.com,2026-04-22T17:01:47.762466+00:00
Luxury Kase Back Case Mobile Accessories,Luxury Kase,0.0,0.0,(69% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/luxury+kase/luxury-kase-solid-printed-back-case-mobile-accessories/38752661/buy,myntra.com,2026-04-22T17:01:47.879381+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38639699/buy,myntra.com,2026-04-22T17:01:48.024590+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(67% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38638504/buy,myntra.com,2026-04-22T17:01:48.181519+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(67% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38638503/buy,myntra.com,2026-04-22T17:01:48.324842+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(40% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38638496/buy,myntra.com,2026-04-22T17:01:48.471234+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(40% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38638495/buy,myntra.com,2026-04-22T17:01:48.593945+00:00
Luxury Kase Back Case Mobile Accessories,Luxury Kase,0.0,0.0,(38% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/luxury+kase/luxury-kase-solid-printed-back-case-mobile-accessories/38627662/buy,myntra.com,2026-04-22T17:01:48.744373+00:00
Luxury Kase Back Case Mobile Accessories,Luxury Kase,0.0,0.0,(38% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/luxury+kase/luxury-kase-solid-printed-back-case-mobile-accessories/38627655/buy,myntra.com,2026-04-22T17:01:48.867352+00:00
PEEPERLY Back Case Mobile Accessories,PEEPERLY,0.0,0.0,0% off,INR,In Stock,,https://www.myntra.commobile-accessories/peeperly/peeperly-abstract-printed-back-case-mobile-accessories/38298047/buy,myntra.com,2026-04-22T17:01:48.989602+00:00
PEEPERLY Back Case Mobile Accessories,PEEPERLY,0.0,0.0,0% off,INR,In Stock,,https://www.myntra.commobile-accessories/peeperly/peeperly-abstract-printed-back-case-mobile-accessories/38231178/buy,myntra.com,2026-04-22T17:01:49.126789+00:00
PEEPERLY Back Case Mobile Accessories,PEEPERLY,0.0,0.0,0% off,INR,In Stock,,https://www.myntra.commobile-accessories/peeperly/peeperly-abstract-printed-back-case-mobile-accessories/38231122/buy,myntra.com,2026-04-22T17:01:49.267103+00:00
