title,price,original_price,discount_percent,currency,availability,url,retailer,category,scraped_at
LG DFB424FP Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,52990.0,29990.0,0.0,INR,In Stock,https://www.flipkart.com/lg-dfb424fp-free-standing-14-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmffag4ttb5fkm3?pid=DSWFFAG4YRKVBK83&lid=LSTDSWFFAG4YRKVBK83PVHYK1&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_21&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFFAG4YRKVBK83.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.900130+00:00
FABER FFSD 6PR 8S ACE INOX Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,27092.0,69990.0,61.3,INR,In Stock,https://www.flipkart.com/faber-ffsd-6pr-8s-ace-inox-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itm767a0ec52a87e?pid=DSWFZZZFGPA8ESXW&lid=LSTDSWFZZZFGPA8ESXWYKHDOS&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_22&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFZZZFGPA8ESXW.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.934782+00:00
Voltas Beko DF15A Free Standing 15 Place Settings Dishwasher,51990.0,54990.0,5.5,INR,In Stock,https://www.flipkart.com/voltas-beko-df15a-free-standing-15-place-settings-dishwasher/p/itmcafcb225f389f?pid=DSWHHU3CYHFZTTBV&lid=LSTDSWHHU3CYHFZTTBVC1W82U&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_23&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHHU3CYHFZTTBV.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.967570+00:00
"IFB Neptune VX16 Free Standing 16 Place Settings with ION Technology, Auto Door Open, 70 Degree Hot Water Wash, Hygienic Steam Drying, Inox Grey Dishwasher",51399.0,58990.0,12.9,INR,In Stock,https://www.flipkart.com/ifb-neptune-vx16-free-standing-16-place-settings-ion-technology-auto-door-open-70-degree-hot-water-wash-hygienic-steam-drying-inox-grey-dishwasher/p/itm9e88be3d62ad9?pid=DSWHFJ4BCXWWNZBY&lid=LSTDSWHFJ4BCXWWNZBY1PV3ZT&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_24&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHFJ4BCXWWNZBY.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.001001+00:00
FABER FFSD 6PR 8S ACE BLACK Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,25681.0,77490.0,66.9,INR,In Stock,https://www.flipkart.com/faber-ffsd-6pr-8s-ace-black-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmaa2a232767cfa?pid=DSWFZZZFHHQHDXXB&lid=LSTDSWFZZZFHHQHDXXBT0LSHV&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_25&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFZZZFHHQHDXXB.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.050802+00:00
Voltas Beko DF14S2 Free Standing 14 Place Settings Dishwasher,51990.0,49990.0,0.0,INR,In Stock,https://www.flipkart.com/voltas-beko-df14s2-free-standing-14-place-settings-dishwasher/p/itma0f1480110c89?pid=DSWHHU3CFC9FD2VK&lid=LSTDSWHHU3CFC9FD2VKEDCMKQ&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_26&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHHU3CFC9FD2VK.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.085060+00:00
"LG DFB424FM Free Standing 14 Place Settings with Wi-Fi , TrueSteam, QuadWash, Inverter Direct Drive, East Rack Plus Dishwasher",61990.0,47990.0,0.0,INR,In Stock,https://www.flipkart.com/lg-dfb424fm-free-standing-14-place-settings-wi-fi-truesteam-quadwash-inverter-direct-drive-east-rack-plus-dishwasher/p/itmffag4ttb5fkm3?pid=DSWGBZB9QZBZGWF3&lid=LSTDSWGBZB9QZBZGWF37XHX6Q&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_27&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGBZB9QZBZGWF3.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.119631+00:00
IFB NEPTUNE VX2 PLUS Free Standing 16 Place Settings Dishwasher,39999.0,71990.0,44.4,INR,In Stock,https://www.flipkart.com/ifb-neptune-vx2-plus-free-standing-16-place-settings-dishwasher/p/itm6c499b9cab253?pid=DSWGRU9YCTG8WAJU&lid=LSTDSWGRU9YCTG8WAJUE3W0GD&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_28&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGRU9YCTG8WAJU.SEARCH&ppt=sp&ppn=sp&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.154712+00:00
Hafele Aqua 14XL Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,19887.0,58190.0,65.8,INR,In Stock,https://www.flipkart.com/hafele-aqua-14xl-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itme1ff5c5ea5e0b?pid=DSWFWXQC3YGR7YUH&lid=LSTDSWFWXQC3YGR7YUHOHVLD8&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_29&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFWXQC3YGR7YUH.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.185796+00:00
BOSCH SMP6HMI00I Free Standing 15 Place Settings Dishwasher,77485.0,89990.0,13.9,INR,In Stock,https://www.flipkart.com/bosch-smp6hmi00i-free-standing-15-place-settings-dishwasher/p/itmad56e839fac87?pid=DSWHHS9PHQTNQBS5&lid=LSTDSWHHS9PHQTNQBS5J92HWD&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_30&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHHS9PHQTNQBS5.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:58.216654+00:00
